Date,Day,Reactor,SampleID in BioProject PRJNA1197561 (NCBI),Temp (¢XC),pH,ORP (mV),EC (mS/cm),Alkalinity (mg CaCO3/L),Inf Nacl (%),Inf Sucrose (mg/L),Inf aspartic acid (mg/L),Eff Formate (mg/L),Eff Acetate (mg/L),Eff Propionate (mg/L),Eff Isobutyrate (mg/L),Eff Butyrate (mg/L),Eff Isovalerate (mg/L),Eff COD (mg/L),"Gas production (L/day, NTP)",H2 (%),N2 (%),CH4 (%),CO2 (%),DNA Concentration (ng/uL),measured HRT (day),measured ORL(kg-COD/m3/day)
2023/1/4,95,D3,Daughter3_D095,32.43,6.27,-410.35,56.1,1399.85,3.8,2000,0,0,53.93,395.09,4.83,0,2.31,520,0.3218,0.00E+00,23.82,53.86,22.32,294.375,2.1,1.36
2023/1/5,96,D3,Daughter3_D096,32.72,6.27,-412.86,56.5,1435.55,4,2000,0,1.86,53.31,413.99,5.38,0,2.22,710,0.3125,,,,,337.847,2.06,
2023/1/6,97,D3,Daughter3_D097,32.72,6.25,-413.73,55,1418.45,4,2000,0,0.32,48.14,399.02,4.57,0,2.01,710,0.3438,0.00E+00,19.61,55.01,25.38,312.259,2.05,1.15
2023/1/7,98,D3,Daughter3_D098,32.71,6.26,-413.85,57.7,1441.7,4,2000,0,0,48.38,409.23,4.96,0,2.18,1130,0.3238,0.00E+00,16.79,55.08,28.13,357.493,2.14,1.18
2023/1/8,99,D3,Daughter3_D099,32.77,6.25,-406.19,57.9,1402.4,4,2000,0,3.04,51.34,392.85,6.04,0,2,1040,0.2754,0.00E+00,21.26,53.54,25.2,241.643,2.12,1.16
2023/1/9,100,D3,Daughter3_D100,32.86,6.24,-411.19,57.8,1398.2,4,2000,0,0.31,47.12,384.07,4.89,0,2.11,740,0.3303,,,,,324.461,2.1,1.12
2023/1/10,101,D3,Daughter3_D101,33.03,6.21,-413.67,57.2,1408.95,4,2000,0,1.91,57.44,383.25,5.05,0,2.16,740,0.3799,8.20E-02,19.45,53.85,26.61,330.865,2.06,1.15
2023/1/11,102,D3,Daughter3_D102,32.92,6.24,-415.45,57.1,1407.15,4,2000,0,0.67,49.11,367.66,5.26,0,2.97,730,0.3215,0.00E+00,23.46,52.43,24.11,310.44,2.09,1.06
2023/1/12,103,D3,Daughter3_D103,32.93,6.24,-414.63,57.6,1407.85,4,2000,0,0.99,42.77,365.42,5.22,0,2.92,1070,0.3218,0.00E+00,22.36,53.16,24.48,337.968,2.08,1.16
2023/1/13,104,D3,Daughter3_D104,33,6.22,-412.43,58,1430.25,4,2000,0,0.62,55.41,385.03,5.48,0,3.3,450,0.3556,0.00E+00,17.45,54.46,28.09,340.618,2.07,1.16
2023/1/14,105,D3,Daughter3_D105,33.58,6.24,-401.87,58.3,1436.85,4,2000,0,2.42,46.92,422.25,6.16,0,3.78,740,0.3974,0.00E+00,20.86,53.31,25.83,297.423,2.04,1.15
2023/1/15,106,D3,Daughter3_D106,32.23,6.23,-406.03,57.5,1409,4,2000,0,3.08,69.68,434.56,6.17,0,6.7,740,0.3225,0.00E+00,22.48,52.53,24.99,319.641,2.05,1.17
2023/1/16,107,D3,Daughter3_D107,32.68,6.24,-408.18,58.2,1425.3,4,2000,0,1.65,68.04,422.65,5.68,0,5.07,1040,0.4006,0.00E+00,17.45,54.05,28.51,349.938,2.03,
2023/1/17,108,D3,Daughter3_D108,32.88,6.25,-408.61,57.4,1408.2,4,2000,0,0.69,68.81,464.58,6.8,1,6.47,820,0.4275,0.00E+00,17.61,54,28.39,351.556,2.09,1.17
2023/1/18,109,D3,Daughter3_D109,33.02,6.27,-414.83,58.1,1433.4,4,2000,0,2.22,55.09,452.96,5.63,0,6.81,890,0.3131,0.00E+00,18.44,53.85,27.71,313.093,1.97,1.14
2023/1/19,110,D3,Daughter3_D110,32.77,6.27,-416.55,58.1,1439.5,4,2000,0,1.69,64.97,446.75,5.88,0,8.93,820,0.3717,0.00E+00,16.06,54.07,29.87,354.715,2.05,1.18
2022/10/2,1,D4,Daughter4_D001,33.24,6.53,-432,3.71,1407.7,0.2,2000,133.1,0.02,76.32,54.02,7.46,0,6.13,350,1.0566,0.00E+00,27.21,53.3,19.48,299.54,2,1.12
2022/10/3,2,D4,Daughter4_D002,33.09,6.51,-434.09,4.82,1482.35,0.2,2000,133.1,0.32,50.28,33.77,3.96,0,3.71,140,0.6652,0.00E+00,23.04,54.59,22.37,274.517,2.04,1.08
2022/10/4,3,D4,Daughter4_D003,33.45,6.47,-435.88,5.64,1508.65,0.2,2000,133.1,1.21,30.49,16.12,2.53,0,1.44,180,0.6648,0.00E+00,19.79,55.82,24.39,252.628,2.05,1.11
2022/10/5,4,D4,Daughter4_D004,33.02,6.47,-436.88,6.15,1536.65,0.2,2000,133.1,1.92,15.78,6.03,0,0,0,60,0.6622,0.00E+00,16.84,57.79,25.37,278.217,2.05,1.13
2022/10/6,5,D4,Daughter4_D005,32.98,6.47,-438.57,6.46,1493.35,0.2,2000,133.1,1.18,29.53,15.04,2.15,0,0,80,0.6724,0.00E+00,18.34,57.39,24.28,288.292,2.09,1.11
2022/10/7,6,D4,Daughter4_D006,33.08,6.45,-436.52,6.79,1537.65,0.4,2000,133.1,1.27,27.39,11.85,2.2,0,0,50,0.68,0.00E+00,16.37,57.74,25.89,253.211,2.07,1.1
2022/10/8,7,D4,Daughter4_D007,33.01,6.41,-433.9,7.88,1515.6,0.4,2000,133.1,1.33,33.55,15.86,0,0,0.69,120,0.6036,0.00E+00,17.59,58.24,24.17,242.671,2.06,1.19
2022/10/9,8,D4,Daughter4_D008,33.14,6.4,-436.14,8.54,1470.25,0.4,2000,133.1,1.41,49.85,29.03,1.95,0,0,160,0.6076,0.00E+00,18.74,57.48,23.78,147.161,2.02,1.04
2022/10/10,9,D4,Daughter4_D009,33.06,6.41,-436.08,9.13,1488.05,0.4,2000,133.1,0,82.74,64.68,6.85,0,3.15,350,0.4871,0.00E+00,28.32,52.5,19.18,171.946,2.18,1.13
2022/10/11,10,D4,Daughter4_D010,33.4,6.39,-411.68,9.46,1458.15,0.4,2000,133.1,0.7,114.08,87.54,5.05,1.59,5.37,140,0.3814,0.00E+00,20.99,54.49,24.52,175.91,2.1,1.09
2022/10/12,11,D4,Daughter4_D011,33.07,6.4,-423.8,9.89,1469.3,0.6,2000,133.1,1.76,95.68,76.56,4.17,0,5.06,310,0.568,0.00E+00,17.73,56.99,25.28,190.419,2.11,1.1
2022/10/13,12,D4,Daughter4_D012,33.91,6.39,-429.04,10.98,1454,0.6,2000,133.1,1.91,79.74,63.6,3.36,0,4.49,250,0.6396,0.00E+00,17.78,57.22,25,198.209,2.1,1.12
2022/10/14,13,D4,Daughter4_D013,33.26,6.38,-429.39,11.78,1466.6,0.6,2000,133.1,2.07,67.39,47.51,2.73,0,3.36,260,0.5383,0.00E+00,17.77,58.45,23.78,178.278,2.17,1.12
2022/10/15,14,D4,Daughter4_D014,32.97,6.39,-429.1,12.12,1456.2,0.6,2000,133.1,1.62,73.48,58.46,2.86,0,1.27,180,0.5093,0.00E+00,15.83,59.86,24.31,186.799,2.08,1.29
