sample-id	Operation-day	Date	Salt	Reactor
Daughter3_D002	2	2022/10/3	0.2	Daughter3
Daughter3_D003	3	2022/10/4	0.2	Daughter3
Daughter3_D004	4	2022/10/5	0.2	Daughter3
Daughter3_D005	5	2022/10/6	0.2	Daughter3
Daughter3_D006	6	2022/10/7	0.4	Daughter3
Daughter3_D007	7	2022/10/8	0.4	Daughter3
Daughter3_D008	8	2022/10/9	0.4	Daughter3
Daughter3_D009	9	2022/10/10	0.4	Daughter3
Daughter3_D010	10	2022/10/11	0.4	Daughter3
Daughter3_D011	11	2022/10/12	0.6	Daughter3
Daughter3_D012	12	2022/10/13	0.6	Daughter3
Daughter3_D013	13	2022/10/14	0.6	Daughter3
Daughter3_D014	14	2022/10/15	0.6	Daughter3
Daughter3_D015	15	2022/10/16	0.6	Daughter3
Daughter3_D016	16	2022/10/17	0.8	Daughter3
Daughter3_D017	17	2022/10/18	0.8	Daughter3
Daughter3_D018	18	2022/10/19	0.8	Daughter3
Daughter3_D019	19	2022/10/20	0.8	Daughter3
Daughter3_D020	20	2022/10/21	0.8	Daughter3
Daughter3_D021	21	2022/10/22	1	Daughter3
Daughter3_D022	22	2022/10/23	1	Daughter3
Daughter3_D023	23	2022/10/24	1	Daughter3
Daughter3_D024	24	2022/10/25	1	Daughter3
Daughter3_D025	25	2022/10/26	1	Daughter3
Daughter3_D026	26	2022/10/27	1.2	Daughter3
Daughter3_D027	27	2022/10/28	1.2	Daughter3
Daughter3_D028	28	2022/10/29	1.2	Daughter3
Daughter3_D029	29	2022/10/30	1.2	Daughter3
Daughter3_D030	30	2022/10/31	1.2	Daughter3
Daughter3_D031	31	2022/11/1	1.4	Daughter3
Daughter3_D032	32	2022/11/2	1.4	Daughter3
Daughter3_D033	33	2022/11/3	1.4	Daughter3
Daughter3_D034	34	2022/11/4	1.4	Daughter3
Daughter3_D035	35	2022/11/5	1.4	Daughter3
Daughter3_D036	36	2022/11/6	1.6	Daughter3
Daughter3_D037	37	2022/11/7	1.6	Daughter3
Daughter3_D038	38	2022/11/8	1.6	Daughter3
Daughter3_D039	39	2022/11/9	1.6	Daughter3
Daughter3_D040	40	2022/11/10	1.6	Daughter3
Daughter3_D041	41	2022/11/11	1.8	Daughter3
Daughter3_D042	42	2022/11/12	1.8	Daughter3
Daughter3_D043	43	2022/11/13	1.8	Daughter3
Daughter3_D044	44	2022/11/14	1.8	Daughter3
Daughter3_D045	45	2022/11/15	1.8	Daughter3
Daughter3_D046	46	2022/11/16	2	Daughter3
Daughter3_D047	47	2022/11/17	2	Daughter3
Daughter3_D048	48	2022/11/18	2	Daughter3
Daughter3_D049	49	2022/11/19	2	Daughter3
Daughter3_D050	50	2022/11/20	2	Daughter3
Daughter3_D051	51	2022/11/21	2.2	Daughter3
Daughter3_D052	52	2022/11/22	2.2	Daughter3
Daughter3_D053	53	2022/11/23	2.2	Daughter3
Daughter3_D054	54	2022/11/24	2.2	Daughter3
Daughter3_D055	55	2022/11/25	2.2	Daughter3
Daughter3_D056	56	2022/11/26	2.4	Daughter3
Daughter3_D057	57	2022/11/27	2.4	Daughter3
Daughter3_D058	58	2022/11/28	2.4	Daughter3
Daughter3_D059	59	2022/11/29	2.4	Daughter3
Daughter3_D060	60	2022/11/30	2.4	Daughter3
Daughter3_D061	61	2022/12/1	2.6	Daughter3
Daughter3_D062	62	2022/12/2	2.6	Daughter3
Daughter3_D063	63	2022/12/3	2.6	Daughter3
Daughter3_D064	64	2022/12/4	2.6	Daughter3
Daughter3_D065	65	2022/12/5	2.6	Daughter3
Daughter3_D066	66	2022/12/6	2.8	Daughter3
Daughter3_D067	67	2022/12/7	2.8	Daughter3
Daughter3_D068	68	2022/12/8	2.8	Daughter3
Daughter3_D069	69	2022/12/9	2.8	Daughter3
Daughter3_D070	70	2022/12/10	2.8	Daughter3
Daughter3_D071	71	2022/12/11	3	Daughter3
Daughter3_D072	72	2022/12/12	3	Daughter3
Daughter3_D073	73	2022/12/13	3	Daughter3
Daughter3_D074	74	2022/12/14	3	Daughter3
Daughter3_D075	75	2022/12/15	3	Daughter3
Daughter3_D076	76	2022/12/16	3.2	Daughter3
Daughter3_D077	77	2022/12/17	3.2	Daughter3
Daughter3_D078	78	2022/12/18	3.2	Daughter3
Daughter3_D079	79	2022/12/19	3.2	Daughter3
Daughter3_D080	80	2022/12/20	3.2	Daughter3
Daughter3_D081	81	2022/12/21	3.4	Daughter3
Daughter3_D082	82	2022/12/22	3.4	Daughter3
Daughter3_D083	83	2022/12/23	3.4	Daughter3
Daughter3_D084	84	2022/12/24	3.4	Daughter3
Daughter3_D085	85	2022/12/25	3.4	Daughter3
Daughter3_D086	86	2022/12/26	3.6	Daughter3
Daughter3_D087	87	2022/12/27	3.6	Daughter3
Daughter3_D088	88	2022/12/28	3.6	Daughter3
Daughter3_D089	89	2022/12/29	3.6	Daughter3
Daughter3_D090	90	2022/12/30	3.6	Daughter3
Daughter3_D091	91	2022/12/31	3.8	Daughter3
Daughter3_D092	92	2023/1/1	3.8	Daughter3
Daughter3_D093	93	2023/1/2	3.8	Daughter3
Daughter3_D094	94	2023/1/3	3.8	Daughter3
Daughter3_D095	95	2023/1/4	3.8	Daughter3
Daughter3_D096	96	2023/1/5	4	Daughter3
Daughter3_D097	97	2023/1/6	4	Daughter3
Daughter3_D098	98	2023/1/7	4	Daughter3
Daughter3_D099	99	2023/1/8	4	Daughter3
Daughter3_D100	100	2023/1/9	4	Daughter3
Daughter3_D101	101	2023/1/10	4	Daughter3
Daughter3_D102	102	2023/1/11	4	Daughter3
Daughter3_D103	103	2023/1/12	4	Daughter3
Daughter3_D104	104	2023/1/13	4	Daughter3
Daughter3_D105	105	2023/1/14	4	Daughter3
Daughter3_D106	106	2023/1/15	4	Daughter3
Daughter3_D107	107	2023/1/16	4	Daughter3
Daughter3_D108	108	2023/1/17	4	Daughter3
Daughter3_D109	109	2023/1/18	4	Daughter3
Daughter3_D110	110	2023/1/19	4	Daughter3
Daughter4_D001	1	2022/10/2	0.2	Daughter4
Daughter4_D002	2	2022/10/3	0.2	Daughter4
Daughter4_D003	3	2022/10/4	0.2	Daughter4
Daughter4_D004	4	2022/10/5	0.2	Daughter4
Daughter4_D005	5	2022/10/6	0.2	Daughter4
Daughter4_D006	6	2022/10/7	0.4	Daughter4
Daughter4_D007	7	2022/10/8	0.4	Daughter4
Daughter4_D008	8	2022/10/9	0.4	Daughter4
Daughter4_D009	9	2022/10/10	0.4	Daughter4
Daughter4_D010	10	2022/10/11	0.4	Daughter4
Daughter4_D011	11	2022/10/12	0.6	Daughter4
Daughter4_D012	12	2022/10/13	0.6	Daughter4
Daughter4_D013	13	2022/10/14	0.6	Daughter4
Daughter4_D014	14	2022/10/15	0.6	Daughter4
Daughter4_D015	15	2022/10/16	0.6	Daughter4
Daughter4_D016	16	2022/10/17	0.8	Daughter4
Daughter4_D017	17	2022/10/18	0.8	Daughter4
Daughter4_D018	18	2022/10/19	0.8	Daughter4
Daughter4_D019	19	2022/10/20	0.8	Daughter4
Daughter4_D020	20	2022/10/21	0.8	Daughter4
Daughter4_D021	21	2022/10/22	1	Daughter4
Daughter4_D022	22	2022/10/23	1	Daughter4
Daughter4_D023	23	2022/10/24	1	Daughter4
Daughter4_D024	24	2022/10/25	1	Daughter4
Daughter4_D025	25	2022/10/26	1	Daughter4
Daughter4_D026	26	2022/10/27	1.2	Daughter4
Daughter4_D027	27	2022/10/28	1.2	Daughter4
Daughter4_D028	28	2022/10/29	1.2	Daughter4
Daughter4_D029	29	2022/10/30	1.2	Daughter4
Daughter4_D030	30	2022/10/31	1.2	Daughter4
Daughter4_D031	31	2022/11/1	1.4	Daughter4
Daughter4_D032	32	2022/11/2	1.4	Daughter4
Daughter4_D033	33	2022/11/3	1.4	Daughter4
Daughter4_D034	34	2022/11/4	1.4	Daughter4
Daughter4_D035	35	2022/11/5	1.4	Daughter4
Daughter4_D036	36	2022/11/6	1.6	Daughter4
Daughter4_D037	37	2022/11/7	1.6	Daughter4
Daughter4_D038	38	2022/11/8	1.6	Daughter4
Daughter4_D039	39	2022/11/9	1.6	Daughter4
Daughter4_D040	40	2022/11/10	1.6	Daughter4
Daughter4_D041	41	2022/11/11	1.8	Daughter4
Daughter4_D042	42	2022/11/12	1.8	Daughter4
Daughter4_D043	43	2022/11/13	1.8	Daughter4
Daughter4_D044	44	2022/11/14	1.8	Daughter4
Daughter4_D045	45	2022/11/15	1.8	Daughter4
Daughter4_D046	46	2022/11/16	2	Daughter4
Daughter4_D047	47	2022/11/17	2	Daughter4
Daughter4_D048	48	2022/11/18	2	Daughter4
Daughter4_D049	49	2022/11/19	2	Daughter4
Daughter4_D050	50	2022/11/20	2	Daughter4
Daughter4_D051	51	2022/11/21	2.2	Daughter4
Daughter4_D052	52	2022/11/22	2.2	Daughter4
Daughter4_D053	53	2022/11/23	2.2	Daughter4
Daughter4_D054	54	2022/11/24	2.2	Daughter4
Daughter4_D055	55	2022/11/25	2.2	Daughter4
Daughter4_D056	56	2022/11/26	2.4	Daughter4
Daughter4_D057	57	2022/11/27	2.4	Daughter4
Daughter4_D058	58	2022/11/28	2.4	Daughter4
Daughter4_D059	59	2022/11/29	2.4	Daughter4
Daughter4_D060	60	2022/11/30	2.4	Daughter4
Daughter4_D061	61	2022/12/1	2.6	Daughter4
Daughter4_D062	62	2022/12/2	2.6	Daughter4
Daughter4_D063	63	2022/12/3	2.6	Daughter4
Daughter4_D064	64	2022/12/4	2.6	Daughter4
Daughter4_D065	65	2022/12/5	2.6	Daughter4
Daughter4_D066	66	2022/12/6	2.8	Daughter4
Daughter4_D067	67	2022/12/7	2.8	Daughter4
Daughter4_D068	68	2022/12/8	2.8	Daughter4
Daughter4_D069	69	2022/12/9	2.8	Daughter4
Daughter4_D070	70	2022/12/10	2.8	Daughter4
Daughter4_D071	71	2022/12/11	3	Daughter4
Daughter4_D072	72	2022/12/12	3	Daughter4
Daughter4_D073	73	2022/12/13	3	Daughter4
Daughter4_D074	74	2022/12/14	3	Daughter4
Daughter4_D075	75	2022/12/15	3	Daughter4
Daughter4_D076	76	2022/12/16	3.2	Daughter4
Daughter4_D077	77	2022/12/17	3.2	Daughter4
Daughter4_D078	78	2022/12/18	3.2	Daughter4
Daughter4_D079	79	2022/12/19	3.2	Daughter4
Daughter4_D080	80	2022/12/20	3.2	Daughter4
Daughter4_D081	81	2022/12/21	3.4	Daughter4
Daughter4_D082	82	2022/12/22	3.4	Daughter4
Daughter4_D083	83	2022/12/23	3.4	Daughter4
Daughter4_D084	84	2022/12/24	3.4	Daughter4
Daughter4_D085	85	2022/12/25	3.4	Daughter4
Daughter4_D086	86	2022/12/26	3.6	Daughter4
Daughter4_D087	87	2022/12/27	3.6	Daughter4
Daughter4_D088	88	2022/12/28	3.6	Daughter4
Daughter4_D089	89	2022/12/29	3.6	Daughter4
Daughter4_D090	90	2022/12/30	3.6	Daughter4
Daughter4_D091	91	2022/12/31	3.8	Daughter4
Daughter4_D092	92	2023/1/1	3.8	Daughter4
Daughter4_D093	93	2023/1/2	3.8	Daughter4
Daughter4_D094	94	2023/1/3	3.8	Daughter4
Daughter4_D095	95	2023/1/4	3.8	Daughter4
Daughter4_D096	96	2023/1/5	4	Daughter4
Daughter4_D097	97	2023/1/6	4	Daughter4
Daughter4_D098	98	2023/1/7	4	Daughter4
Daughter4_D099	99	2023/1/8	4	Daughter4
Daughter4_D100	100	2023/1/9	4	Daughter4
Daughter4_D101	101	2023/1/10	4	Daughter4
Daughter4_D102	102	2023/1/11	4	Daughter4
Daughter4_D103	103	2023/1/12	4	Daughter4
Daughter4_D104	104	2023/1/13	4	Daughter4
Daughter4_D105	105	2023/1/14	4	Daughter4
Daughter4_D106	106	2023/1/15	4	Daughter4
Daughter4_D107	107	2023/1/16	4	Daughter4
Daughter4_D108	108	2023/1/17	4	Daughter4
Daughter4_D109	109	2023/1/18	4	Daughter4
Daughter4_D110	110	2023/1/19	4	Daughter4
